What are the main differences between an IAM user and an IAM role in AWS? (Choose TWO),An IAM user is uniquely associated with only one person however a role is intended to be assumable by anyone who needs it.,An IAM user has permanent credentials associated with it however a role has temporary credentials associated with it.,IAM users are more cost effective than IAM roles.,A role is uniquely associated with only one person however an IAM user is intended to be assumable by anyone who needs it.,An IAM user has temporary credentials associated with it however a role has permanent credentials associated with it.,A B
Which of the following actions may reduce Amazon EBS costs? (Choose TWO),Deleting unused buckets.,Using reservations.,Deleting unnecessary snapshots.,Changing the type of the volume.,Distributing requests to multiple volumes.,C D
What does Amazon GuardDuty do to protect AWS accounts and workloads?,Notifies AWS customers about abuse events once they are reported.,Continuously monitors AWS infrastructure and helps detect threats such as attacker reconnaissance or account compromise.,Helps AWS customers identify the root cause of potential security issues.,Checks security groups for rules that allow unrestricted access to AWS. resources.,,B
Which database service should you use if your application and data schema require ""joins"" or complex transactions?",Amazon RDS.,AWS Outposts.,Amazon DocumentDB.,Amazon DynamoDB.,,A
Which of the following makes it easier for you to categorize manage and filter your resources?,Amazon CloudWatch.,AWS Service Catalog.,AWS Directory Service.,AWS Tagging.,,D
What should you consider when storing data in Amazon Glacier?,Amazon Glacier only accepts data in a compressed format.,Glacier can only be used to store frequently accessed data and data archives.,Amazon Glacier does not provide immediate retrieval of data.,Attach Glacier to an EC2 Instance to be able to store data.,,C
Engineers are wasting a lot of time and effort managing batch computing software in traditional data centers. Which of the following AWS services allows them to easily run thousands of batch computing jobs?,Amazon EC2.,AWS Batch.,Lambda@Edge.,AWS Fargate.,,B
How can you increase your application’s fault-tolerance while it is being hosted in AWS?,Deploy your application across multiple EC2 instances.,Deploy your application across multiple Availability Zones.,Host your application on one powerful EC2 instance type instead of multiple smaller instances.,Deploy the underlying application resources across multiple subnets.,,B
Which of the following AWS Support Plans gives you 24/7 access to Cloud Support Engineers via email & phone? (Choose TWO),Developer.,Premium.,Enterprise.,Standard.,Business.,C E
Which of the following requires an access key ID and a secret access key to get long-lived programmatic access to AWS resources? (Choose TWO),IAM group.,IAM user.,IAM role.,AWS account root user.,TAM.,B D
 Which of the following is a benefit of the ""Loose Coupling"" architecture principle?",It eliminates the need for change management.,It allows for Cross-Region Replication.,It helps AWS customers reduce Privileged Access to AWS resources.,It allows individual application components or services to be modified without affecting other components.,,D
A company needs to host a big data application on AWS using EC2 instances. Which of the following AWS Storage services would they choose to automatically get high throughput to multiple compute nodes?,Amazon Elastic Block Store.,AWS Storage Gateway.,Amazon Elastic File System.,S3.,,C
Which of the following Cloud Computing deployment models eliminates the need to run and maintain physical data centers?,On-premises.,IaaS.,PaaS.,Cloud.,,D
What are the benefits of the AWS Marketplace service? (Choose TWO),Protects customers by performing periodic security checks on listed products.,Per-second billing.,Provides cheaper options for purchasing Amazon EC2 on-demand instances.,Provides flexible pricing options that suit most customer needs.,Provides software solutions that run on AWS or any other Cloud vendor.,A D
What is the benefit of Amazon EBS volumes being automatically replicated within the same availability zone?,Elasticity.,Durability.,Traceability.,Accessibility.,,B
You are planning to launch an advertising campaign over the coming weekend to promote a new digital product. It is expected that there will be heavy spikes in load during the campaign period and you can’t afford any downtime. You need additional compute resources to handle the additional load. What is the most cost-effective EC2 instance purchasing option for this job?,Savings Plans.,Spot Instances.,Reserved Instances.,On-Demand Instances.,,D
Which of the following AWS services integrates with AWS Shield and AWS Web Application Firewall (AWS WAF) to protect against network and application layer DDoS attacks?,Amazon EFS.,AWS Secrets Manager.,AWS Systems Manager.,Amazon CloudFront.,,D
Which of the following services is used when encrypting EBS volumes?,AWS WAF.,AWS KMS.,Amazon Macie.,Amazon GuardDuty.,,B
The AWS account administrator of your company has been fired. With the permissions granted to him as an administrator he was able to create multiple IAM user accounts and access keys. Additionally you are not sure whether he has access to the AWS root account or not. What should you do immediately to protect your AWS infrastructure? (Choose TWO),Download all the attached policies in a safe place.,Delete all IAM accounts and recreate them.,Use the CloudWatch service to check all API calls that have been made in your account since the administrator was fired.,Rotate all access keys.,Change the email address and password of the root user account and enable MFA.,D E
What is the Amazon ElastiCache service used for? (Choose TWO),Provide an in-memory data storage service.,Reduce delivery costs using Edge Locations.,Improve web application performance.,Provide a Chef-compatible cache to speed up application response.,Distribute requests to multiple instances.,A C
